Date,beta_1,beta_2,beta_3,beta_4,beta_5,SP500
28-jun-96,0.002203411,0.024429207,0.006056017,0.002021437,0.002442257,0.013990443
01-jul-96,0.001742129,0.021275806,0.006802855,0.001854433,0.003289702,0.011882961
02-jul-96,0.001462883,0.02210404,0.006162563,0.001692166,0.003347506,0.008634293
03-jul-96,0.001267782,0.030987409,0.005525681,0.001597711,0.003058304,0.010573468
05-jul-96,0.001495697,0.027602396,0.005180715,0.001549863,0.002828804,0.011533017
08-jul-96,0.00164298,0.093962235,0.006159744,0.001580605,0.004541394,0.030102074
09-jul-96,0.001711185,0.091293444,0.005505305,0.001854599,0.004900056,0.034445441
10-jul-96,0.002006171,0.066594517,0.005992613,0.002289821,0.004482377,0.028575294
11-jul-96,0.001640202,0.051293737,0.006334382,0.002167807,0.00402336,0.024655682
12-jul-96,0.001429813,0.083591933,0.006439236,0.002173942,0.003706848,0.038154122
15-jul-96,0.001525106,0.06451293,0.006572928,0.002291033,0.003982661,0.033756916
16-jul-96,0.001466801,0.184130691,0.005888051,0.002274137,0.003577349,0.062400952
17-jul-96,0.001431393,0.192824401,0.005516321,0.002100973,0.003197478,0.058796188
18-jul-96,0.001357067,0.154251194,0.005602094,0.002003417,0.002886214,0.04406436
19-jul-96,0.001230701,0.10544029,0.005005038,0.001859517,0.002777704,0.028649482
22-jul-96,0.001340051,0.109023692,0.004684255,0.001760438,0.002581184,0.033323277
23-jul-96,0.001419421,0.224111972,0.005173813,0.002722339,0.002818506,0.038859338
24-jul-96,0.00163833,0.246803504,0.005078543,0.002434883,0.002924822,0.048078807
25-jul-96,0.001587187,0.220938277,0.005606322,0.002218565,0.002622682,0.044740124
26-jul-96,0.001999798,0.152999156,0.005329305,0.00220217,0.002357728,0.034847702
29-jul-96,0.001727126,0.105692209,0.004769926,0.002292209,0.002299008,0.026583254
30-jul-96,0.001868855,0.207834678,0.005328571,0.002117286,0.002849175,0.032637044
31-jul-96,0.001738816,0.193127424,0.005729278,0.001933056,0.002822297,0.02602046
01-Aug-1996,0.00169287,0.154990462,0.005296516,0.002057321,0.002552354,0.020465599
02-Aug-1996,0.00202739,0.134027302,0.004983907,0.001882264,0.002393068,0.013515625
05-Aug-1996,0.001757468,0.092902155,0.005813521,0.00173754,0.004462366,0.008740218
06-Aug-1996,0.00171221,0.112187172,0.005471846,0.00163873,0.004256243,0.011454354
07-Aug-1996,0.001568886,0.092281539,0.004937362,0.0015736,0.00406324,0.010593741
08-Aug-1996,0.001358699,0.077168918,0.004457999,0.001819017,0.00371697,0.010034411
09-Aug-1996,0.001244559,0.063652457,0.004873815,0.001800902,0.003481585,0.011773799
12-Aug-1996,0.001130536,0.062764198,0.005043754,0.001666589,0.003292115,0.012494538
13-Aug-1996,0.001100932,0.053905605,0.005871191,0.001949217,0.002971901,0.010234766
14-Aug-1996,0.001031137,0.067947608,0.005254048,0.001772313,0.002843147,0.015755189
15-Aug-1996,0.000970224,0.060066066,0.004808201,0.001623045,0.002570355,0.014005979
