Date,Open,High,Low,Close,AdjClose,Volume,Rf,Ret_m_Rf_dvdy
06/05/96,641.630005,644.640015,636.190002,640.809998,640.809998,375820000,0.019,-0.001353513
07/05/96,640.809998,641.400024,636.960022,638.26001,638.26001,410770000,0.019,-0.004061948
08/05/96,638.26001,644.789978,630.070007,644.77002,644.77002,495460000,0.019,0.010073266
09/05/96,644.77002,647.950012,643.179993,645.440002,645.440002,404310000,0.019,0.000963873
10/05/96,645.440002,653,645.440002,652.090027,652.090027,428370000,0.019,0.010175683
13/05/96,652.090027,662.159973,652.090027,661.51001,661.51001,394180000,0.019,0.014267796
14/05/96,661.51001,666.960022,661.51001,665.599976,665.599976,460440000,0.019,0.006089048
15/05/96,665.599976,669.820007,664.460022,665.419983,665.419983,447790000,0.019,-0.000345148
16/05/96,665.419983,667.109985,662.789978,664.849976,664.849976,392070000,0.019,-0.000931669
17/05/96,664.849976,669.840027,664.849976,668.909973,668.909973,429140000,0.019,0.006013377
20/05/96,668.909973,673.659973,667.640015,673.150024,673.150024,385000000,0.019,0.006244052
21/05/96,673.150024,675.559998,672.26001,672.76001,672.76001,409610000,0.019,-0.000654244
22/05/96,672.76001,678.419983,671.22998,678.419983,678.419983,423670000,0.019,0.008303182
23/05/96,678.419983,681.099976,673.450012,676,676,431850000,0.019,-0.003648154
24/05/96,676,679.719971,676,678.51001,678.51001,329150000,0.019,0.003631467
28/05/96,678.51001,679.97998,671.52002,672.22998,672.22998,341480000,0.019,-0.009373408
29/05/96,672.22998,673.72998,666.090027,667.929993,667.929993,346730000,0.019,-0.006491836
30/05/96,667.929993,673.51001,664.559998,671.700012,671.700012,381960000,0.019,0.005553773
31/05/96,671.700012,673.460022,667,669.119995,669.119995,351750000,0.019,-0.003923111
03/06/96,669.119995,669.119995,665.190002,667.679993,667.679993,318470000,0.02,-0.002232984
04/06/96,667.679993,672.599976,667.679993,672.559998,672.559998,386040000,0.02,0.007203736
05/06/96,672.559998,678.450012,672.090027,678.440002,678.440002,380360000,0.02,0.008626142
06/06/96,678.440002,680.320007,673.02002,673.030029,673.030029,466940000,0.02,-0.008084682
07/06/96,673.030029,673.309998,662.47998,673.309998,673.309998,445710000,0.02,0.000337315
10/06/96,673.309998,673.609985,670.150024,672.159973,672.159973,337480000,0.02,-0.001788059
11/06/96,672.159973,676.719971,669.940002,670.969971,670.969971,405390000,0.02,-0.001850566
12/06/96,670.969971,673.669983,668.77002,669.039978,669.039978,397190000,0.02,-0.002959149
13/06/96,669.039978,670.539978,665.48999,667.919983,667.919983,397620000,0.02,-0.001754018
14/06/96,667.919983,668.400024,664.349976,665.849976,665.849976,390630000,0.02,-0.003182578
17/06/96,665.849976,668.27002,664.090027,665.159973,665.159973,298410000,0.02,-0.001115393
18/06/96,665.159973,666.359985,661.340027,662.059998,662.059998,373290000,0.02,-0.004749971
19/06/96,662.059998,665.619995,661.210022,661.960022,661.960022,383610000,0.02,-0.000229601
20/06/96,661.960022,664.960022,658.75,662.099976,662.099976,441060000,0.02,0.000132819
21/06/96,662.099976,666.840027,662.099976,666.840027,666.840027,520340000,0.02,0.00705503
24/06/96,666.840027,671.070007,666.840027,668.849976,668.849976,333840000,0.02,0.002931024
25/06/96,668.849976,670.650024,667.289978,668.47998,668.47998,391900000,0.02,-0.000631917
26/06/96,668.47998,668.48999,663.669983,664.390015,664.390015,386520000,0.02,-0.006215681
27/06/96,664.390015,668.900024,661.559998,668.549988,668.549988,405580000,0.02,0.006163239
28/06/96,668.549988,672.679993,668.549988,670.630005,670.630005,470460000,0.02,0.003027825
01/07/96,670.630005,675.880005,670.630005,675.880005,675.880005,345750000,0.02,0.007719394
02/07/96,675.880005,675.880005,672.549988,673.609985,673.609985,388000000,0.02,-0.003442849
03/07/96,673.609985,673.640015,670.210022,672.400024,672.400024,336260000,0.02,-0.001876431
05/07/96,672.400024,672.400024,657.409973,657.440002,657.440002,181470000,0.02,-0.022578511
08/07/96,657.440002,657.650024,651.130005,652.539978,652.539978,367560000,0.02,-0.007559684
09/07/96,652.539978,656.599976,652.539978,654.75,654.75,400170000,0.02,0.003302495
10/07/96,654.75,656.27002,648.390015,656.059998,656.059998,421350000,0.02,0.00192018
11/07/96,656.059998,656.059998,639.52002,645.669983,645.669983,520470000,0.02,-0.016042316
12/07/96,645.669983,647.640015,640.210022,646.190002,646.190002,396740000,0.02,0.000726488
15/07/96,646.190002,646.190002,629.690002,629.799988,629.799988,419020000,0.02,-0.025769874
16/07/96,629.799988,631.98999,605.880005,628.369995,628.369995,682980000,0.02,-0.002351714
17/07/96,628.369995,636.609985,628.369995,634.070007,634.070007,513830000,0.02,0.008951631
18/07/96,634.070007,644.440002,633.289978,643.559998,643.559998,474460000,0.02,0.014777308
19/07/96,643.51001,643.51001,635.5,638.72998,638.72998,408070000,0.02,-0.007612043
22/07/96,638.72998,638.72998,630.380005,633.77002,633.77002,327300000,0.02,-0.007874236
23/07/96,633.789978,637.700012,625.650024,626.869995,626.869995,421900000,0.02,-0.011025551
24/07/96,626.190002,629.099976,616.429993,626.650024,626.650024,463030000,0.02,-0.000429547
25/07/96,626.650024,633.570007,626.650024,631.169983,631.169983,405390000,0.02,0.007108422
26/07/96,631.169983,636.22998,631.169983,635.900024,635.900024,349900000,0.02,0.007387561
29/07/96,635.900024,635.900024,630.900024,630.909973,630.909973,281560000,0.02,-0.007956759
30/07/96,630.909973,635.26001,629.219971,635.26001,635.26001,341090000,0.02,0.006792619
31/07/96,635.26001,640.539978,633.73999,639.950012,639.950012,403560000,0.02,0.007277106
01/08/96,639.950012,650.659973,639.48999,650.02002,650.02002,439110000,0.019,0.015538406
02/08/96,650.02002,662.48999,650.02002,662.48999,662.48999,442080000,0.019,0.018927596
05/08/96,662.48999,663.640015,659.030029,660.22998,660.22998,307240000,0.019,-0.003491909
06/08/96,660.22998,662.75,656.830017,662.380005,662.380005,347290000,0.019,0.003176499
07/08/96,662.380005,664.609985,660,664.159973,664.159973,394340000,0.019,0.002608937
08/08/96,664.159973,664.169983,661.280029,662.590027,662.590027,334570000,0.019,-0.002441295
09/08/96,662.590027,665.369995,660.309998,662.099976,662.099976,327280000,0.019,-0.000814562
12/08/96,662.099976,665.77002,658.950012,665.77002,665.77002,312170000,0.019,0.00545304
