Dates,beta_1,beta_2,beta_3,beta_4,beta_5
31-may-96,0.14560536,0.006424424,0.216607581,-0.014457152,-0.017257829
03-jun-96,0.144368474,0.014760748,0.209893672,-0.010748037,-0.01894521
04-jun-96,0.145007499,0.007281801,0.214887792,-0.008594503,-0.0195124
05-jun-96,0.143355599,0.00667173,0.216086463,-0.006342537,-0.021595855
06-jun-96,0.141821705,0.023940388,0.215049602,-0.006970099,-0.020562675
07-jun-96,0.147066586,-0.001158109,0.214016024,-0.004573108,-0.02178509
10-jun-96,0.144845585,0.017117437,0.219839289,-0.001123828,-0.019058513
11-jun-96,0.146014781,0.010939198,0.21850468,0.001957335,-0.023626871
12-jun-96,0.146305653,0.016962348,0.216802773,0.004305394,-0.020807822
13-jun-96,0.14621029,0.022131902,0.21549776,0.005624382,-0.018624434
14-jun-96,0.146951398,0.022861512,0.221762038,0.008006553,-0.016307138
17-jun-96,0.148847636,0.019438614,0.210507482,0.006339554,-0.018706831
18-jun-96,0.151037579,0.017991918,0.211673085,0.011513207,-0.019971323
19-jun-96,0.15113418,0.017716517,0.211282728,0.00914084,-0.02119818
20-jun-96,0.150407344,0.01053355,0.221331211,0.008752952,-0.018909704
21-jun-96,0.151343489,-0.008293723,0.215174401,0.004321714,-0.022859344
24-jun-96,0.152624268,-0.011797184,0.209017022,0.005324703,-0.029494639
25-jun-96,0.1513263,-0.017161367,0.215637139,0.002071189,-0.030636178
26-jun-96,0.149493129,-0.016873034,0.218919923,0.004615908,-0.029384218
27-jun-96,0.143461974,-0.024077715,0.221837822,0.002334697,-0.033925103
28-jun-96,0.142749652,-0.032385654,0.214660434,0.001385846,-0.040609914
01-jul-96,0.141354181,-0.031323333,0.213183833,0.001314667,-0.044652383
02-jul-96,0.140134944,-0.020989537,0.212673734,0.002529179,-0.046231299
03-jul-96,0.143677571,-0.025970296,0.216478799,0.004124041,-0.04430635
05-jul-96,0.140523949,0.014819855,0.22510649,0.001639521,-0.035389847
08-jul-96,0.143599253,0.014704804,0.225059521,0.005510041,-0.029806159
09-jul-96,0.14779451,-0.004134659,0.218860195,0.010234638,-0.032334832
10-jul-96,0.148173038,-0.014732314,0.212956069,0.012110862,-0.03368916
11-jul-96,0.147735103,0.009280375,0.219385992,0.008962571,-0.031704838
12-jul-96,0.150667773,-0.005110411,0.225982552,0.012383907,-0.026767478
15-jul-96,0.149683212,0.047251076,0.22769028,0.015080641,-0.026108187
16-jul-96,0.1507486,0.053450678,0.22498335,0.016306928,-0.026218978
17-jul-96,0.151052355,0.041277534,0.220245656,0.018036822,-0.025535577
18-jul-96,0.151594112,0.004035677,0.220683717,0.016433337,-0.028526493
19-jul-96,0.149346476,0.015161347,0.224214176,0.017708685,-0.026875322
22-jul-96,0.147807983,0.060464086,0.231236916,0.010821597,-0.022678554
23-jul-96,0.150652078,0.072314652,0.236244927,0.011355428,-0.019066618
24-jul-96,0.151659706,0.069211581,0.230102837,0.012435495,-0.01954132
25-jul-96,0.155912691,0.035947936,0.227034757,0.009455436,-0.020085551
26-jul-96,0.156852694,0.007590029,0.228140629,0.005890073,-0.023044445
29-jul-96,0.154108842,0.052957108,0.235403118,0.004381088,-0.017795448
30-jul-96,0.153169088,0.050180353,0.242430123,0.005257989,-0.014981784
31-jul-96,0.151463648,0.038096606,0.245796265,0.001859381,-0.014590992
